Date,precipitation_mm,temp_max,temp_min,humidity,wind_speed,solar_radiation,pressure
2000-02-15,0.0,31.94,21.25,71.94,1.08,5.56,101.0
2000-02-16,0.0,30.54,21.46,75.07,2.89,5.15,101.26
2000-02-17,0.0,30.29,20.78,64.76,0.67,4.93,101.14
2000-02-18,0.0,27.94,22.38,70.49,1.8,4.95,101.19
2000-02-19,0.0,31.48,19.51,74.6,3.03,5.41,101.32
2000-02-20,0.0,30.49,21.05,72.35,2.59,5.88,101.22
2000-02-21,0.0,33.18,21.65,82.77,1.19,6.2,101.26
2000-02-22,0.88,32.46,18.76,75.92,1.67,4.42,101.51
2000-02-23,0.11,31.51,22.75,76.75,1.34,4.78,101.35
2000-02-24,0.0,32.11,22.27,75.5,1.69,5.44,101.12
2000-02-25,0.0,28.43,22.12,71.43,2.79,4.22,101.02
2000-02-26,1.37,31.45,22.32,73.56,1.55,4.22,100.79
2000-02-27,0.0,31.8,18.66,78.39,2.07,4.9,101.67
2000-02-28,0.0,31.17,20.7,77.77,2.62,5.63,100.89
2000-02-29,0.72,31.97,22.14,67.18,2.35,6.35,100.67
2000-03-01,0.0,34.33,24.34,76.0,0.76,5.61,101.3
2000-03-02,0.0,30.44,24.43,76.92,2.47,4.35,100.87
2000-03-03,0.0,32.82,24.41,69.49,2.89,6.6,100.81
2000-03-04,0.0,31.52,25.1,72.35,1.87,5.91,100.59
2000-03-05,0.0,33.09,21.76,74.49,2.53,6.41,101.26
2000-03-06,2.62,32.67,25.24,78.79,2.08,4.54,100.82
2000-03-07,0.0,29.55,23.75,64.04,3.18,5.21,100.91
2000-03-08,0.0,34.45,24.35,70.22,1.21,6.16,100.67
2000-03-09,0.54,31.41,23.71,71.13,2.22,6.17,101.17
2000-03-10,0.0,32.99,26.28,75.39,1.81,7.22,101.06
2000-03-11,0.0,32.42,23.7,81.98,1.45,4.47,101.18
2000-03-12,0.0,30.9,25.18,71.75,2.11,5.53,100.64
2000-03-13,0.15,34.03,24.97,74.58,2.69,6.22,100.68
2000-03-14,0.0,32.2,24.62,78.76,1.16,6.43,100.7
2000-03-15,0.0,33.86,24.84,61.3,2.13,5.75,100.44
2000-03-16,0.0,34.2,24.42,68.94,1.98,6.04,100.64
2000-03-17,1.89,32.1,25.41,80.53,3.12,5.42,101.63
2000-03-18,0.0,33.87,24.26,76.86,2.02,6.07,100.85
2000-03-19,0.0,32.82,24.64,72.03,2.97,5.75,100.8
2000-03-20,0.0,33.43,26.99,79.36,2.24,6.96,100.78
2000-03-21,0.0,31.99,21.82,80.26,1.83,4.74,100.9
2000-03-22,0.0,34.24,21.85,76.18,3.12,4.82,101.24
2000-03-23,5.53,34.87,25.66,80.41,2.11,5.32,100.57
2000-03-24,0.0,31.77,24.59,72.61,2.88,6.27,101.21
2000-03-25,1.63,34.93,23.97,72.86,2.06,6.77,101.19
2000-03-26,0.0,33.62,26.75,71.13,1.5,4.58,101.35
2000-03-27,0.0,33.27,27.67,73.99,2.54,7.43,101.08
2000-03-28,0.0,31.81,25.07,84.41,3.58,7.27,100.75
2000-03-29,0.0,32.86,25.44,87.69,2.92,5.53,100.86
2000-03-30,0.0,31.48,22.51,79.12,2.56,4.97,100.51
2000-03-31,0.0,30.75,24.19,69.37,2.38,5.99,100.5
2000-04-01,0.0,32.65,25.34,84.24,3.4,5.78,100.57
2000-04-02,3.0,33.24,23.69,75.75,1.87,5.54,100.87
2000-04-03,3.61,32.95,23.85,71.44,2.59,4.8,101.35
2000-04-04,0.0,29.88,23.01,69.11,2.66,6.23,100.82
2000-04-05,0.0,30.89,23.57,69.45,3.9,6.75,101.28
2000-04-06,1.29,31.91,24.62,74.35,2.9,5.16,100.79
2000-04-07,0.0,32.66,25.35,77.22,2.21,6.93,100.58
2000-04-08,0.0,33.92,22.5,83.82,1.51,5.35,101.29
2000-04-09,0.0,30.37,22.96,83.77,0.83,7.36,100.96
2000-04-10,0.0,32.85,25.67,74.85,2.23,7.08,101.55
2000-04-11,0.0,34.01,24.71,74.08,2.51,6.28,100.74
2000-04-12,1.18,30.56,25.16,85.03,3.07,5.62,101.06
2000-04-13,4.08,34.47,26.5,80.07,1.03,3.98,100.71
2000-04-14,3.1,32.48,24.74,67.83,2.96,3.78,100.66
2000-04-15,0.0,31.54,25.76,70.25,4.61,6.39,100.96
2000-04-16,0.0,33.91,22.68,74.97,1.97,4.65,101.2
2000-04-17,0.0,32.95,26.62,71.87,3.95,6.57,100.73
2000-04-18,0.0,31.37,25.62,66.19,3.42,4.94,100.83
2000-04-19,0.0,33.57,25.23,77.8,3.36,6.67,101.04
2000-04-20,0.0,30.71,24.43,79.09,2.61,6.36,100.84
2000-04-21,0.0,32.94,25.32,75.14,2.52,6.75,100.75
2000-04-22,0.56,33.75,23.25,81.39,2.29,6.11,101.02
2000-04-23,0.0,30.11,25.74,67.57,2.71,6.71,100.92
2000-04-24,0.0,34.6,25.97,71.58,2.09,4.01,101.18
2000-04-25,0.0,33.47,23.97,82.27,3.76,5.58,100.77
2000-04-26,0.0,32.58,23.29,69.75,0.95,5.03,100.58
2000-04-27,0.0,34.02,25.68,73.93,2.46,6.54,100.56
2000-04-28,0.0,33.57,25.9,83.11,1.24,6.06,100.74
2000-04-29,1.46,32.04,25.93,82.1,2.04,5.33,101.04
2000-04-30,0.0,31.94,23.66,86.79,3.25,5.33,100.95
2000-05-01,0.0,32.08,24.03,76.43,2.77,6.53,101.5
2000-05-02,0.37,31.11,25.56,70.25,1.83,5.99,101.11
2000-05-03,0.84,32.98,25.93,87.63,2.08,5.61,101.21
2000-05-04,0.0,30.54,25.06,76.2,2.74,6.75,101.03
2000-05-05,0.0,34.23,25.11,80.33,3.44,7.11,101.09
2000-05-06,1.92,31.75,23.67,77.47,2.83,6.32,100.83
2000-05-07,0.0,33.01,24.73,75.23,1.41,6.6,101.09
2000-05-08,0.0,36.24,24.82,72.99,2.93,6.04,101.26
2000-05-09,0.0,30.84,23.96,75.97,3.36,5.18,100.94
2000-05-10,0.0,31.95,23.92,75.64,2.79,5.58,100.86
2000-05-11,0.0,29.95,23.83,84.41,1.34,4.24,101.03
2000-05-12,0.0,32.25,25.85,81.55,2.32,5.08,100.87
2000-05-13,0.0,33.95,22.67,71.54,2.46,6.19,100.83
2000-05-14,0.0,33.53,24.59,73.85,3.26,5.73,101.05
2000-05-15,2.9,33.51,25.05,77.85,2.86,5.51,101.3
2000-05-16,13.43,33.74,23.26,79.75,2.8,3.39,100.49
2000-05-17,0.0,32.53,24.65,71.59,3.17,5.48,100.77
2000-05-18,0.31,32.74,23.67,87.36,2.1,6.82,100.57
2000-05-19,0.0,31.55,24.44,74.98,1.57,7.2,101.16
2000-05-20,0.0,31.69,24.55,73.65,2.43,5.86,100.68
2000-05-21,25.94,33.96,23.81,82.86,5.12,4.74,100.92
2000-05-22,0.0,32.03,24.97,78.41,2.04,6.87,100.93
2000-05-23,0.0,34.43,26.99,71.55,3.89,6.16,100.7
2000-05-24,0.0,32.27,23.26,72.35,2.99,6.9,101.79
2000-05-25,0.0,32.86,24.55,75.6,2.99,5.18,100.82
2000-05-26,0.0,30.5,25.62,79.37,1.01,5.28,100.43
2000-05-27,0.0,36.0,25.79,74.81,2.36,6.71,101.1
2000-05-28,0.0,30.64,25.14,68.73,3.6,6.62,101.02
2000-05-29,0.0,31.97,23.84,71.64,2.48,6.94,101.06
2000-05-30,0.0,32.44,21.82,76.18,1.58,6.26,101.01
2000-05-31,0.0,32.87,22.95,80.8,2.13,6.28,100.89
2000-06-01,26.59,26.36,23.81,91.7,5.99,2.02,100.08
2000-06-02,0.0,28.98,23.08,86.39,5.16,3.81,100.63
2000-06-03,10.42,30.07,23.11,90.25,3.54,1.0,100.46
2000-06-04,0.0,27.95,23.59,78.01,4.23,3.78,100.8
2000-06-05,0.46,28.19,23.98,83.31,4.02,3.72,100.3
2000-06-06,11.93,29.83,24.54,95.48,3.62,1.79,101.22
2000-06-07,0.0,29.41,22.96,88.34,3.66,3.86,100.18
2000-06-08,33.45,30.74,20.97,92.68,5.26,1.76,100.63
2000-06-09,29.53,30.03,21.48,88.33,5.84,1.96,100.72
2000-06-10,32.15,27.19,23.14,87.52,3.85,2.78,100.25
2000-06-11,2.33,29.04,21.95,85.0,3.64,1.94,100.83
2000-06-12,94.52,28.93,22.13,86.05,3.68,2.32,101.23
2000-06-13,33.92,27.51,22.64,94.96,4.85,1.94,100.49
2000-06-14,4.8,28.02,22.18,88.9,4.61,3.23,100.03
2000-06-15,0.0,28.6,21.6,87.33,3.37,2.72,100.67
2000-06-16,7.29,29.98,21.59,95.2,3.48,2.94,100.57
2000-06-17,77.09,28.0,22.35,91.58,5.32,1.9,100.11
2000-06-18,3.37,28.46,22.64,92.47,3.26,3.5,100.3
2000-06-19,20.96,32.83,22.01,95.62,4.41,1.22,100.64
2000-06-20,15.81,29.28,24.66,98.0,3.05,1.0,100.47
2000-06-21,0.0,33.37,24.0,84.14,2.35,1.97,100.79
2000-06-22,0.0,31.16,24.18,96.14,3.2,3.34,100.33
2000-06-23,4.44,28.62,23.26,84.2,3.53,2.0,100.71
2000-06-24,22.31,30.75,21.11,94.87,5.98,1.0,101.0
2000-06-25,24.8,29.64,22.68,88.05,5.5,1.0,100.52
2000-06-26,6.21,31.35,24.81,96.05,2.63,2.25,100.86
2000-06-27,17.78,28.38,23.77,90.36,3.79,1.9,100.67
2000-06-28,0.0,28.32,21.9,78.82,3.91,2.62,99.85
2000-06-29,40.92,26.84,23.09,92.99,4.65,2.43,100.67
2000-06-30,30.8,27.89,21.4,93.14,4.99,2.37,100.64
2000-07-01,250.0,27.25,22.87,86.44,4.51,1.35,100.52
2000-07-02,0.0,30.29,23.58,78.12,2.75,3.38,100.14
2000-07-03,41.09,28.06,23.79,93.74,4.73,1.01,100.41
2000-07-04,20.38,28.41,24.02,98.0,5.76,1.0,99.73
2000-07-05,61.37,25.71,22.32,95.71,5.61,1.04,99.72
2000-07-06,56.34,27.28,20.98,93.92,4.99,1.96,100.54
2000-07-07,6.22,29.46,22.38,90.78,2.79,2.36,101.01
2000-07-08,7.0,26.09,22.7,98.0,3.02,3.96,100.7
2000-07-09,11.14,32.74,22.77,96.71,3.74,2.54,100.97
2000-07-10,4.79,29.59,25.92,88.68,3.21,2.65,100.1
2000-07-11,6.23,27.93,24.14,98.0,4.08,3.3,100.27
2000-07-12,4.45,28.75,25.09,90.78,3.86,4.23,100.31
2000-07-13,0.0,30.89,25.33,90.54,3.93,4.36,100.39
2000-07-14,0.0,28.24,22.25,78.17,5.14,2.62,100.43
2000-07-15,0.0,29.08,24.53,85.08,3.37,3.73,100.43
2000-07-16,0.0,31.91,24.3,93.87,3.64,2.46,100.62
2000-07-17,9.15,31.36,23.53,94.54,4.86,2.69,101.28
2000-07-18,175.81,29.12,24.09,96.37,4.83,1.0,100.33
2000-07-19,40.53,26.0,22.75,92.33,5.01,1.0,100.69
2000-07-20,0.0,28.17,22.98,91.61,3.2,4.88,100.38
2000-07-21,0.0,27.37,21.39,80.37,4.51,3.06,101.27
2000-07-22,23.28,28.47,25.97,98.0,5.82,1.97,100.73
2000-07-23,10.32,29.24,22.96,96.48,4.26,1.57,100.94
2000-07-24,11.91,28.17,23.4,92.39,4.71,2.0,100.19
2000-07-25,185.05,26.48,21.46,98.0,6.23,1.11,100.16
2000-07-26,10.62,30.66,23.89,92.26,3.13,1.0,100.65
2000-07-27,10.55,29.46,25.63,98.0,3.13,1.02,100.64
2000-07-28,32.14,27.12,22.63,91.98,4.82,1.79,100.77
2000-07-29,7.63,29.47,22.6,80.88,4.21,3.09,100.42
2000-07-30,26.9,29.63,21.62,90.35,5.64,1.0,100.59
2000-07-31,3.93,27.08,24.9,84.33,2.85,2.66,100.84
2000-08-01,12.63,29.73,22.51,93.43,2.64,1.0,100.63
2000-08-02,53.26,29.3,24.96,92.09,6.1,1.0,100.26
2000-08-03,72.58,25.59,22.52,91.74,4.77,1.0,100.76
2000-08-04,16.39,29.95,22.6,90.87,4.42,1.59,100.07
2000-08-05,27.81,31.55,22.96,98.0,5.05,2.18,100.65
2000-08-06,0.0,28.23,23.1,85.98,2.74,3.84,101.12
2000-08-07,5.0,29.54,25.19,87.6,3.86,1.65,100.63
2000-08-08,0.0,31.28,26.61,90.9,3.76,3.66,100.39
2000-08-09,24.92,29.96,22.29,98.0,6.05,1.41,99.86
2000-08-10,8.68,28.0,22.89,97.2,3.94,2.31,100.39
2000-08-11,8.13,26.46,24.46,98.0,4.3,2.15,100.62
2000-08-12,17.48,27.73,24.93,90.68,3.66,1.73,100.42
2000-08-13,9.77,30.67,23.65,98.0,2.7,1.96,100.65
2000-08-14,0.0,29.77,24.26,93.55,3.83,3.31,100.7
2000-08-15,175.96,29.07,22.48,90.32,4.93,1.77,100.56
2000-08-16,10.68,30.63,24.39,96.08,2.75,2.37,100.34
2000-08-17,0.0,30.71,23.94,97.19,3.32,3.22,100.49
2000-08-18,12.51,27.92,22.22,97.75,4.87,1.42,100.45
2000-08-19,0.0,29.61,24.89,83.36,3.69,4.28,100.65
2000-08-20,0.0,25.45,23.45,84.73,2.04,3.91,100.91
2000-08-21,0.0,31.92,25.08,96.2,4.09,3.56,100.02
2000-08-22,13.23,25.9,23.65,95.76,3.53,2.86,100.31
2000-08-23,22.73,28.58,23.46,90.85,4.45,1.0,100.48
2000-08-24,6.15,28.5,23.13,89.24,3.76,3.57,99.94
2000-08-25,0.0,29.67,23.76,84.24,3.24,2.86,100.82
2000-08-26,18.47,28.44,21.68,83.98,2.23,1.71,100.65
2000-08-27,54.37,27.17,22.36,93.73,6.29,2.22,100.42
2000-08-28,6.18,29.18,22.32,92.34,3.56,2.32,100.3
2000-08-29,0.0,27.86,25.19,87.51,3.52,4.07,100.57
2000-08-30,28.45,30.45,22.13,93.54,4.97,1.33,100.46
2000-08-31,1.88,29.74,22.27,94.33,2.81,4.28,100.63
2000-09-01,0.0,32.26,22.61,83.28,2.62,3.29,100.93
2000-09-02,0.0,29.93,23.81,87.33,4.15,4.13,99.98
2000-09-03,87.16,29.34,21.39,98.0,4.23,1.16,100.51
2000-09-04,10.71,28.66,23.25,84.58,2.86,2.27,100.98
2000-09-05,125.79,27.75,22.44,87.27,4.92,1.83,100.17
2000-09-06,8.42,29.11,25.42,95.8,3.26,3.06,100.4
2000-09-07,2.05,27.27,24.13,77.81,3.65,1.56,100.97
2000-09-08,0.0,29.88,21.34,85.29,2.87,3.0,100.45
2000-09-09,7.38,29.59,24.09,97.81,2.04,2.36,100.17
2000-09-10,0.62,29.07,24.82,97.79,2.52,3.9,100.36
2000-09-11,11.45,27.21,23.79,94.33,4.92,1.21,100.58
2000-09-12,0.0,30.43,23.06,89.89,3.48,4.4,100.48
2000-09-13,2.29,28.24,24.27,84.37,3.69,1.0,101.31
2000-09-14,0.0,29.1,23.43,89.43,3.92,4.02,100.67
2000-09-15,14.48,31.25,23.25,92.32,4.3,3.37,100.56
2000-09-16,0.0,29.47,23.03,93.62,4.26,2.88,100.62
2000-09-17,51.39,25.79,21.92,89.58,4.57,2.19,100.65
2000-09-18,30.68,28.38,23.14,94.76,5.86,1.48,100.24
2000-09-19,1.82,27.05,23.27,85.26,3.59,3.39,100.51
2000-09-20,26.98,29.5,22.52,96.3,5.75,1.0,100.27
2000-09-21,37.06,25.74,22.49,96.5,3.77,1.39,100.52
2000-09-22,13.37,31.54,21.93,77.9,3.65,2.94,100.87
2000-09-23,3.45,30.67,24.51,90.8,3.69,3.6,100.15
2000-09-24,0.0,29.6,23.47,79.15,2.94,3.17,100.34
2000-09-25,0.0,29.73,22.75,88.08,4.26,2.67,100.24
2000-09-26,50.18,24.8,21.7,94.31,5.15,2.18,100.46
2000-09-27,12.02,32.47,25.38,86.36,3.92,1.0,100.56
2000-09-28,0.0,29.6,23.61,88.99,3.01,3.25,100.68
2000-09-29,55.13,28.11,22.42,85.79,4.83,1.0,100.08
2000-09-30,7.55,31.68,23.89,94.5,4.0,1.59,100.81
2000-10-01,4.57,31.96,24.92,76.29,1.87,5.02,101.14
2000-10-02,1.2,32.96,21.92,83.19,1.94,5.48,100.74
2000-10-03,4.11,27.88,23.14,72.37,1.29,3.83,100.11
2000-10-04,0.0,34.12,23.94,79.9,1.99,5.02,101.06
2000-10-05,0.0,32.08,22.13,80.6,3.44,4.81,100.96
2000-10-06,5.65,32.82,21.51,77.66,2.33,4.04,100.95
2000-10-07,0.0,30.87,20.27,75.32,1.88,4.86,100.68
2000-10-08,0.0,29.3,22.79,88.31,2.22,5.18,100.52
2000-10-09,2.39,31.01,21.81,81.97,3.33,4.26,100.79
2000-10-10,0.0,32.87,21.78,75.95,1.19,4.81,101.04
2000-10-11,0.0,31.0,23.74,74.55,2.08,5.03,101.08
2000-10-12,56.7,27.9,21.81,83.21,1.93,4.23,100.47
2000-10-13,3.63,31.17,23.45,80.24,2.47,3.66,100.41
2000-10-14,0.0,30.78,22.21,82.13,2.22,4.49,101.05
2000-10-15,0.0,29.06,24.0,86.96,3.14,5.19,100.54
2000-10-16,0.0,30.03,23.0,73.75,2.68,5.71,100.76
2000-10-17,0.0,30.27,21.95,79.9,1.81,4.36,101.0
2000-10-18,12.21,30.23,22.22,91.61,3.34,2.52,100.34
2000-10-19,0.0,32.01,23.49,72.1,3.3,4.0,100.69
2000-10-20,0.0,29.6,23.02,75.23,1.87,5.55,100.93
2000-10-21,0.0,31.38,23.66,93.17,1.56,5.77,101.13
2000-10-22,0.0,30.06,22.77,84.61,2.1,6.21,100.46
2000-10-23,0.0,30.48,22.34,74.87,1.91,5.36,100.9
2000-10-24,0.0,31.56,23.52,82.02,3.19,4.14,101.1
2000-10-25,20.91,30.66,24.26,82.14,2.37,3.55,100.13
2000-10-26,1.36,28.87,23.82,74.26,2.73,5.37,100.38
2000-10-27,2.22,31.8,23.7,77.7,1.29,5.17,100.38
2000-10-28,0.0,30.63,22.03,75.85,2.62,5.33,101.32
2000-10-29,0.0,28.12,23.95,84.85,2.84,5.03,100.61
2000-10-30,0.0,31.41,22.78,82.67,2.91,4.74,101.44
2000-10-31,0.0,32.13,24.11,77.89,2.74,4.57,101.06
2000-11-01,8.47,31.67,23.55,93.37,2.2,4.53,100.57
2000-11-02,0.0,29.92,22.15,87.22,2.15,5.36,101.13
2000-11-03,0.0,29.0,23.6,80.25,2.21,4.47,101.11
2000-11-04,8.29,30.87,24.66,80.02,1.98,3.11,100.6
2000-11-05,0.0,32.09,23.74,83.42,1.11,5.97,100.98
2000-11-06,0.0,30.6,22.23,74.99,1.32,6.0,100.45
2000-11-07,2.35,32.8,22.36,71.46,1.31,4.99,100.85
2000-11-08,0.0,29.68,24.66,85.73,1.25,5.42,101.36
2000-11-09,2.76,29.05,21.85,81.72,2.16,4.03,100.67
2000-11-10,30.75,27.89,21.33,93.51,3.04,2.47,100.38
2000-11-11,4.29,30.81,23.08,76.39,2.34,3.56,100.82
2000-11-12,0.0,32.75,24.5,85.95,3.01,3.74,101.18
2000-11-13,16.96,30.91,23.66,86.7,2.51,1.94,101.21
2000-11-14,0.0,32.25,23.05,78.72,1.94,3.7,100.87
2000-11-15,0.0,31.25,23.68,74.9,2.18,4.86,100.97
2000-11-16,0.0,29.95,21.07,77.8,3.54,4.61,100.9
2000-11-17,0.0,30.37,21.45,83.45,1.8,5.21,100.99
2000-11-18,0.0,30.15,22.16,75.65,3.56,4.76,101.38
2000-11-19,16.54,31.25,23.57,85.38,2.79,3.39,100.53
2000-11-20,0.0,30.73,25.05,79.07,1.7,5.12,101.13
2000-11-21,0.0,29.32,21.34,81.52,2.78,4.82,101.34
2000-11-22,0.0,31.75,21.78,71.92,0.57,5.43,100.96
2000-11-23,2.59,31.79,22.54,79.77,2.22,2.46,100.9
2000-11-24,0.0,29.47,23.3,78.12,3.6,4.19,100.69
2000-11-25,2.77,31.69,23.41,82.85,2.97,3.73,100.72
2000-11-26,5.63,28.01,20.43,87.66,3.04,3.63,100.7
2000-11-27,0.0,32.01,22.85,81.64,2.27,3.22,100.83
2000-11-28,0.0,29.22,21.32,80.07,2.53,5.68,100.95
2000-11-29,0.0,30.75,25.47,74.35,2.58,4.26,101.07
2000-11-30,1.66,30.67,25.09,78.59,2.54,4.38,100.81
2000-12-01,0.0,34.64,21.02,65.11,1.35,6.32,101.83
2000-12-02,0.0,33.01,17.7,77.43,2.64,5.5,100.81
2000-12-03,0.0,31.49,21.61,66.93,1.87,4.76,101.28
2000-12-04,0.0,31.65,19.53,69.64,0.77,5.39,101.25
2000-12-05,0.0,30.55,20.44,85.1,0.91,6.67,101.5
2000-12-06,0.0,32.87,20.66,73.81,2.07,3.83,101.14
2000-12-07,0.0,29.02,20.26,68.0,1.75,6.49,101.06
2000-12-08,0.0,30.59,21.63,74.48,1.84,5.65,101.03
2000-12-09,4.22,30.26,18.25,75.1,1.29,3.55,101.01
2000-12-10,0.0,30.72,22.61,70.59,2.83,6.27,101.14
2000-12-11,12.58,31.9,21.3,73.33,1.87,3.87,101.64
2000-12-12,0.0,32.13,21.25,66.28,1.85,6.36,101.66
2000-12-13,0.0,30.34,19.92,73.48,2.17,5.66,101.29
2000-12-14,0.0,32.18,20.87,81.32,2.69,5.43,100.83
2000-12-15,0.0,29.73,19.72,66.55,1.17,5.2,100.78
2000-12-16,0.0,28.94,20.54,73.11,1.42,6.42,101.07
2000-12-17,0.0,30.01,21.53,66.54,2.51,5.64,101.37
2000-12-18,0.0,29.77,19.77,66.93,2.36,4.28,101.39
2000-12-19,0.0,31.83,21.25,68.52,2.27,5.71,101.04
2000-12-20,0.0,30.31,20.42,70.34,2.19,5.07,101.22
2000-12-21,0.0,32.02,20.14,70.35,2.39,5.77,101.29
2000-12-22,0.0,29.94,20.65,77.81,1.15,5.79,101.29
2000-12-23,0.0,29.47,20.21,71.8,1.69,5.77,101.63
2000-12-24,0.0,29.2,21.33,78.67,2.3,6.36,101.81
2000-12-25,0.0,31.37,21.75,72.72,1.82,5.22,101.67
2000-12-26,0.0,28.97,19.84,75.52,1.93,5.33,101.37
2000-12-27,0.0,31.94,21.56,69.04,1.9,7.06,101.05
2000-12-28,0.0,31.84,20.31,72.01,0.78,6.39,101.52
2000-12-29,0.0,29.89,19.92,78.15,3.15,5.95,100.94
2000-12-30,0.0,32.43,21.07,74.62,2.86,6.18,101.35
2000-12-31,0.0,31.07,21.17,59.35,1.56,5.69,100.85
2001-01-01,0.0,31.23,21.42,63.3,2.69,4.85,101.16
2001-01-02,0.0,29.3,21.25,75.15,1.16,6.22,101.01
2001-01-03,0.0,31.43,20.59,77.96,1.7,5.35,101.05
2001-01-04,0.78,29.88,20.29,64.26,1.41,5.27,101.12
2001-01-05,0.0,30.64,18.46,69.69,1.31,6.34,100.9
2001-01-06,0.0,29.86,19.58,65.52,1.44,5.65,101.38
2001-01-07,0.0,30.16,21.56,70.1,0.27,5.38,101.61
2001-01-08,0.0,31.42,20.72,85.47,2.08,4.7,101.17
2001-01-09,0.12,28.17,20.03,66.07,0.2,5.93,101.69
2001-01-10,0.0,31.72,20.94,73.97,0.26,5.28,101.45
2001-01-11,0.0,33.55,20.41,55.38,0.62,5.16,101.51
2001-01-12,0.0,28.44,19.39,79.81,1.58,5.31,101.11
2001-01-13,0.0,31.39,18.99,70.24,3.95,4.51,101.4
2001-01-14,0.0,33.22,19.1,73.08,0.92,5.03,100.95
2001-01-15,0.0,31.66,19.98,73.9,1.65,5.55,101.33
2001-01-16,0.0,32.83,19.88,68.41,1.62,6.44,101.26
2001-01-17,0.0,31.78,19.33,68.59,1.26,5.21,101.36
2001-01-18,0.0,31.8,21.97,68.81,2.17,3.83,101.02
2001-01-19,2.7,30.96,19.71,68.34,1.74,5.21,101.68
2001-01-20,0.0,30.69,17.2,69.5,1.38,6.61,101.08
2001-01-21,1.58,30.1,19.17,84.05,1.98,5.52,101.47
2001-01-22,0.0,27.87,22.57,70.56,2.03,5.46,101.07
2001-01-23,0.0,31.37,19.43,67.93,1.36,6.48,101.05
2001-01-24,0.0,30.2,20.93,68.35,2.41,6.05,101.75
2001-01-25,0.0,30.04,20.3,79.67,1.91,4.94,100.84
2001-01-26,1.12,31.38,20.36,73.07,3.06,6.29,101.46
2001-01-27,0.0,30.32,20.9,74.67,1.03,4.72,101.5
2001-01-28,0.0,32.56,19.78,70.85,0.49,5.19,101.5
2001-01-29,0.0,30.3,19.94,66.23,0.92,5.74,101.18
2001-01-30,0.0,31.73,20.28,63.85,2.76,6.12,101.34
2001-01-31,0.0,33.28,21.18,75.5,2.31,4.61,100.69
