Date,Rainfall(mm),Temperature(C),Humidity(%)
1981-03-23,0.0,28.63,56.96
1981-03-24,0.0,28.75,52.15
1981-03-25,0.08,29.3,52.66
1981-03-26,0.14,29.75,54.11
1981-03-27,2.16,29.51,59.9
1981-03-28,0.06,29.64,58.86
1981-03-29,0.01,29.88,58.15
1981-03-30,0.0,30.16,59.79
1981-03-31,0.0,29.71,62.26
1981-04-01,0.0,29.75,60.7
1981-04-02,0.15,29.97,56.92
1981-04-03,0.04,29.63,59.43
1981-04-04,0.01,30.11,58.06
1981-04-05,0.0,29.56,58.55
1981-04-06,0.0,29.6,60.52
1981-04-07,0.17,29.59,60.4
1981-04-08,0.5,30.07,62.16
1981-04-09,0.24,30.58,60.65
1981-04-10,0.2,30.14,63.79
1981-04-11,0.01,30.24,60.72
1981-04-12,0.04,30.45,62.52
1981-04-13,0.16,30.11,65.67
1981-04-14,0.2,29.06,70.64
1981-04-15,0.19,29.11,70.36
1981-04-16,0.25,28.88,64.83
1981-04-17,0.02,28.98,66.95
1981-04-18,0.03,29.25,65.19
1981-04-19,0.0,29.17,65.15
1981-04-20,0.02,28.81,63.73
1981-04-21,0.04,28.98,64.87
1981-04-22,0.27,29.3,65.31
1981-04-23,0.13,29.98,60.72
1981-04-24,0.29,29.73,62.98
1981-04-25,0.11,29.82,64.11
1981-04-26,5.55,29.0,68.47
1981-04-27,2.31,29.54,66.42
1981-04-28,3.94,28.88,72.59
1981-04-29,5.94,27.58,77.74
1981-04-30,8.65,27.9,76.51
1981-05-01,2.16,28.1,75.3
1981-05-02,1.53,28.35,75.46
1981-05-03,1.44,27.88,78.42
1981-05-04,3.75,27.83,71.81
1981-05-05,4.76,26.31,71.58
1981-05-06,4.47,27.86,73.81
1981-05-07,1.23,28.05,74.71
1981-05-08,3.99,28.45,75.49
1981-05-09,3.02,28.07,77.94
1981-05-10,11.88,28.47,73.35
1981-05-11,7.32,27.95,74.27
1981-05-12,0.09,28.06,70.2
1981-05-13,0.02,27.96,70.64
1981-05-14,0.01,28.15,70.92
1981-05-15,0.17,27.98,71.82
1981-05-16,0.68,27.46,78.99
1981-05-17,0.08,27.55,78.98
1981-05-18,0.13,28.37,75.07
1981-05-19,0.21,28.54,78.33
1981-05-20,0.03,29.2,71.07
1981-05-21,0.98,29.11,69.66
1981-05-22,1.42,28.59,67.71
1981-05-23,0.04,28.82,64.46
1981-05-24,0.0,28.65,66.42
1981-05-25,0.06,28.71,65.95
1981-05-26,0.23,28.79,69.59
1981-05-27,0.63,28.3,68.67
1981-05-28,12.64,28.65,78.37
1981-05-29,8.62,27.9,83.65
1981-05-30,20.83,27.35,85.54
1981-05-31,5.38,26.51,85.79
1981-06-01,16.84,26.54,86.12
1981-06-02,20.85,26.52,85.97
1981-06-03,51.59,26.39,83.08
1981-06-04,60.4,25.85,87.88
1981-06-05,32.81,25.88,84.9
1981-06-06,40.4,26.28,82.73
1981-06-07,15.73,26.6,82.69
1981-06-08,8.09,26.95,84.3
1981-06-09,8.05,26.88,85.85
1981-06-10,42.35,26.46,88.28
1981-06-11,89.15,26.55,89.61
1981-06-12,40.43,25.69,88.14
1981-06-13,141.93,25.56,89.71
1981-06-14,47.4,25.54,90.69
1981-06-15,20.82,25.01,87.41
1981-06-16,13.06,24.7,88.03
1981-06-17,48.65,25.2,90.61
1981-06-18,106.71,25.48,88.85
1981-06-19,31.01,25.8,88.7
1981-06-20,42.03,26.23,88.15
1981-06-21,117.06,26.01,88.66
1981-06-22,76.99,25.65,91.4
1981-06-23,61.87,25.94,91.53
1981-06-24,42.67,25.13,90.58
1981-06-25,27.02,25.22,92.3
1981-06-26,50.8,24.8,87.48
1981-06-27,53.47,23.95,88.0
1981-06-28,14.72,24.13,87.34
1981-06-29,4.64,24.94,86.6
1981-06-30,6.27,25.57,87.1
1981-07-01,13.58,25.74,87.77
1981-07-02,22.78,25.62,86.58
1981-07-03,8.79,25.9,90.01
1981-07-04,12.56,25.91,89.57
1981-07-05,30.74,25.77,88.55
1981-07-06,38.04,25.51,90.87
1981-07-07,40.88,25.77,91.91
1981-07-08,35.72,25.94,90.77
1981-07-09,44.64,25.96,90.3
1981-07-10,50.4,25.99,90.3
1981-07-11,22.76,25.84,90.61
1981-07-12,63.69,25.48,92.45
1981-07-13,102.94,25.22,93.25
1981-07-14,23.84,25.48,89.45
1981-07-15,2.71,25.64,88.67
1981-07-16,15.91,25.55,88.82
1981-07-17,10.31,25.59,87.84
1981-07-18,14.8,25.55,87.87
1981-07-19,6.9,25.52,87.23
1981-07-20,1.55,25.39,88.84
1981-07-21,8.99,25.34,91.23
1981-07-22,15.87,25.25,92.55
1981-07-23,124.52,25.12,92.35
1981-07-24,60.09,25.29,91.89
1981-07-25,21.88,25.43,91.31
1981-07-26,45.75,25.29,90.76
1981-07-27,105.7,25.25,92.07
1981-07-28,37.31,24.95,92.82
1981-07-29,8.4,24.78,91.34
1981-07-30,44.15,24.64,92.0
1981-07-31,78.5,24.87,91.92
1981-08-01,86.12,24.82,91.8
1981-08-02,66.02,24.9,90.97
1981-08-03,22.42,25.19,91.34
1981-08-04,19.71,25.23,90.22
1981-08-05,18.06,25.28,90.41
1981-08-06,10.01,25.64,88.37
1981-08-07,7.99,25.56,87.75
1981-08-08,4.54,25.63,89.72
1981-08-09,6.32,25.77,89.77
1981-08-10,28.14,25.4,90.48
1981-08-11,26.76,25.56,90.48
1981-08-12,14.91,25.37,89.62
1981-08-13,13.21,25.02,89.4
1981-08-14,5.52,25.35,88.7
1981-08-15,13.27,24.99,88.01
1981-08-16,121.8,24.82,91.05
1981-08-17,65.92,25.19,90.1
1981-08-18,64.4,25.56,90.73
1981-08-19,93.55,25.46,90.36
1981-08-20,77.44,25.38,91.32
1981-08-21,23.48,25.5,91.44
1981-08-22,9.64,25.49,91.02
1981-08-23,28.26,25.06,90.95
1981-08-24,27.3,24.87,87.3
1981-08-25,5.83,25.05,87.42
1981-08-26,2.81,25.08,90.23
1981-08-27,2.86,25.15,89.57
1981-08-28,9.09,24.55,90.83
1981-08-29,8.76,25.13,89.32
1981-08-30,2.34,25.14,87.58
1981-08-31,1.54,25.34,85.28
1981-09-01,0.5,25.31,86.62
1981-09-02,3.5,24.17,89.78
1981-09-03,3.41,24.97,86.04
1981-09-04,8.73,25.38,86.84
1981-09-05,3.98,25.42,87.43
1981-09-06,8.87,24.8,89.54
1981-09-07,9.81,25.31,85.13
1981-09-08,6.82,24.93,86.18
1981-09-09,25.72,24.98,88.7
1981-09-10,25.99,24.42,90.5
1981-09-11,13.28,24.6,90.17
1981-09-12,7.22,24.72,91.23
1981-09-13,10.87,24.66,89.93
1981-09-14,6.22,24.96,89.18
1981-09-15,5.62,25.29,90.45
1981-09-16,8.59,25.21,90.95
1981-09-17,40.78,25.05,89.09
1981-09-18,13.72,24.86,87.61
1981-09-19,8.05,25.18,87.85
1981-09-20,30.57,25.58,90.35
1981-09-21,6.91,25.43,89.86
1981-09-22,26.68,25.59,91.34
1981-09-23,16.45,25.74,87.71
1981-09-24,8.5,25.64,87.47
1981-09-25,17.7,25.56,88.18
1981-09-26,5.9,25.5,88.35
1981-09-27,3.23,25.42,88.03
1981-09-28,2.66,25.27,87.57
1981-09-29,2.85,25.61,86.71
1981-09-30,0.59,25.77,84.37
1981-10-01,3.26,25.28,85.37
1981-10-02,2.25,25.11,86.43
1981-10-03,0.82,25.41,87.74
1981-10-04,1.25,25.59,85.4
1981-10-05,5.77,24.72,84.09
1981-10-06,0.31,24.58,76.12
1981-10-07,0.19,24.67,71.33
1981-10-08,6.85,24.5,74.17
1981-10-09,0.65,24.1,79.57
1981-10-10,3.5,24.67,84.38
1981-10-11,20.37,24.17,92.06
1981-10-12,10.8,24.52,92.13
1981-10-13,4.07,26.45,81.99
1981-10-14,0.0,25.26,78.55
1981-10-15,0.13,24.96,77.53
1981-10-16,1.41,25.85,79.93
1981-10-17,0.53,25.87,86.2
1981-10-18,23.32,26.21,84.67
1981-10-19,0.85,26.31,77.73
1981-10-20,0.95,26.53,80.63
1981-10-21,0.71,26.1,81.67
1981-10-22,0.24,26.4,79.21
1981-10-23,6.02,25.49,82.42
1981-10-24,8.48,25.12,82.56
1981-10-25,3.96,25.9,80.46
1981-10-26,18.44,26.18,81.73
1981-10-27,8.54,25.33,87.65
1981-10-28,10.99,25.11,90.05
1981-10-29,9.89,25.74,89.99
1981-10-30,18.62,25.54,92.1
1981-10-31,6.15,26.03,88.78
1981-11-01,14.31,24.93,88.18
1981-11-02,2.12,24.83,87.11
1981-11-03,0.46,25.29,83.14
1981-11-04,0.62,25.75,82.7
1981-11-05,2.14,25.92,85.22
1981-11-06,23.03,26.54,85.88
1981-11-07,6.05,26.71,82.67
1981-11-08,4.54,25.95,91.14
1981-11-09,5.43,25.72,90.15
1981-11-10,1.36,24.63,87.78
1981-11-11,2.25,25.81,82.38
1981-11-12,0.94,25.34,89.38
1981-11-13,0.19,25.41,81.98
1981-11-14,0.0,25.84,76.84
1981-11-15,0.0,25.84,74.91
1981-11-16,0.02,25.99,78.94
1981-11-17,0.27,25.89,81.06
1981-11-18,0.49,25.56,81.72
1981-11-19,0.0,24.47,72.13
1981-11-20,0.0,23.38,64.74
1981-11-21,0.0,23.61,61.75
1981-11-22,0.0,23.61,61.08
1981-11-23,0.0,23.93,64.26
1981-11-24,0.0,24.9,71.54
1981-11-25,0.0,24.77,69.24
1981-11-26,0.0,23.73,61.8
1981-11-27,0.0,23.81,63.09
1981-11-28,0.0,25.21,71.37
1981-11-29,0.33,25.41,73.92
1981-11-30,2.2,26.04,77.99
1981-12-01,0.66,26.34,80.68
1981-12-02,0.9,26.33,75.89
1981-12-03,4.35,26.09,79.06
1981-12-04,2.4,25.44,80.2
1981-12-05,0.24,25.9,72.7
1981-12-06,0.0,24.71,70.58
1981-12-07,0.0,24.45,68.85
1981-12-08,0.05,24.71,73.27
1981-12-09,0.0,23.92,65.21
1981-12-10,0.0,22.78,56.91
1981-12-11,0.0,22.8,54.9
1981-12-12,0.0,23.17,64.39
1981-12-13,0.03,23.67,66.8
1981-12-14,0.0,24.28,71.29
1981-12-15,0.0,24.39,70.88
1981-12-16,0.01,25.61,75.57
1981-12-17,0.3,25.81,76.02
1981-12-18,0.34,26.2,75.87
1981-12-19,0.15,26.19,74.13
1981-12-20,0.05,26.3,71.95
1981-12-21,0.0,26.32,73.19
1981-12-22,0.02,25.16,83.05
1981-12-23,0.16,24.36,75.81
1981-12-24,0.0,25.06,74.3
1981-12-25,0.0,25.57,68.96
1981-12-26,0.0,25.51,67.09
1981-12-27,0.0,25.33,69.82
1981-12-28,0.0,25.17,67.67
1981-12-29,0.0,24.9,64.86
1981-12-30,0.0,24.57,65.41
1981-12-31,0.0,24.84,66.84
1982-01-01,0.0,24.61,63.83
1982-01-02,0.0,24.52,66.14
1982-01-03,0.0,24.97,69.18
1982-01-04,0.0,25.35,71.12
1982-01-05,0.0,25.67,66.83
1982-01-06,0.03,25.51,62.9
1982-01-07,0.0,25.05,64.48
1982-01-08,0.0,25.19,68.7
1982-01-09,0.0,25.16,73.32
1982-01-10,0.0,25.29,76.02
1982-01-11,0.0,25.02,76.13
1982-01-12,0.0,25.13,75.62
1982-01-13,0.0,25.59,74.34
1982-01-14,0.0,26.13,69.25
1982-01-15,0.0,25.57,70.73
1982-01-16,0.0,25.44,69.65
1982-01-17,0.0,25.41,62.57
1982-01-18,0.0,25.89,67.35
1982-01-19,0.0,25.55,68.71
1982-01-20,0.0,25.6,64.12
1982-01-21,0.0,25.73,66.56
1982-01-22,0.0,25.52,55.11
1982-01-23,0.0,25.53,63.64
1982-01-24,0.01,25.77,63.07
1982-01-25,0.0,25.63,59.34
1982-01-26,0.0,25.46,66.15
1982-01-27,0.0,25.75,67.98
1982-01-28,0.0,25.7,70.02
1982-01-29,0.02,26.46,68.96
1982-01-30,0.0,26.48,66.57
1982-01-31,0.0,26.35,64.62
1982-02-01,0.0,26.2,65.24
1982-02-02,0.0,25.88,65.11
1982-02-03,0.01,26.57,70.46
1982-02-04,0.0,26.55,68.24
1982-02-05,0.0,26.78,61.69
1982-02-06,0.0,26.58,60.06
1982-02-07,0.0,26.51,63.64
1982-02-08,0.0,26.94,65.65
1982-02-09,0.0,27.21,65.15
1982-02-10,0.0,27.3,67.57
1982-02-11,0.0,27.46,66.59
1982-02-12,0.0,27.18,67.54
1982-02-13,0.0,27.33,63.89
1982-02-14,0.0,27.34,64.86
1982-02-15,0.0,27.44,63.1
1982-02-16,0.0,27.51,60.94
1982-02-17,0.0,27.22,59.23
1982-02-18,0.0,27.46,60.91
1982-02-19,0.0,27.58,61.99
1982-02-20,0.0,27.83,62.03
1982-02-21,0.0,28.02,60.06
1982-02-22,0.0,28.06,60.01
1982-02-23,0.0,28.29,55.55
1982-02-24,0.0,28.5,54.75
1982-02-25,0.0,28.06,57.84
1982-02-26,0.0,28.54,57.02
1982-02-27,0.0,28.42,59.26
1982-02-28,0.0,28.58,60.95
1982-03-01,0.0,28.18,60.62
1982-03-02,0.0,27.83,61.12
1982-03-03,0.0,28.54,57.53
1982-03-04,0.0,28.54,50.73
1982-03-05,0.01,28.01,56.67
1982-03-06,0.0,27.56,58.46
1982-03-07,0.0,26.94,60.68
1982-03-08,0.0,27.08,59.56
1982-03-09,0.0,27.98,54.47
1982-03-10,0.0,28.14,56.82
1982-03-11,0.0,27.95,58.82
1982-03-12,0.0,27.66,57.98
1982-03-13,0.0,28.32,54.47
1982-03-14,0.0,28.91,54.55
1982-03-15,0.0,28.79,60.66
1982-03-16,0.0,28.39,63.9
1982-03-17,0.06,27.87,64.67
1982-03-18,0.0,28.52,61.5
1982-03-19,0.01,28.4,60.64
1982-03-20,0.01,28.54,59.22
1982-03-21,0.0,28.61,59.98
1982-03-22,0.02,28.85,58.65
1982-03-23,0.62,28.58,61.42
1982-03-24,0.01,28.22,65.11
1982-03-25,0.28,28.85,60.55
1982-03-26,0.03,28.88,52.26
1982-03-27,0.12,28.36,60.8
1982-03-28,0.27,28.79,62.7
1982-03-29,0.01,29.72,62.14
1982-03-30,0.01,29.82,61.09
1982-03-31,0.01,29.21,64.02
1982-04-01,0.01,28.6,69.97
1982-04-02,0.02,29.01,65.96
1982-04-03,0.05,28.75,65.83
1982-04-04,0.0,29.06,63.15
1982-04-05,0.0,29.47,60.76
1982-04-06,0.01,29.75,59.58
1982-04-07,0.0,30.21,57.05
1982-04-08,0.0,29.53,58.96
1982-04-09,0.0,28.59,61.85
1982-04-10,0.06,28.98,64.0
1982-04-11,0.18,29.53,61.7
1982-04-12,1.31,29.28,60.6
1982-04-13,0.19,29.65,58.86
1982-04-14,0.08,29.46,63.0
1982-04-15,0.15,29.61,61.69
1982-04-16,0.08,29.54,63.43
1982-04-17,0.06,29.51,64.09
1982-04-18,0.02,29.2,61.88
1982-04-19,0.02,28.29,64.78
1982-04-20,0.14,28.19,64.03
1982-04-21,0.81,28.42,64.42
1982-04-22,2.78,28.98,61.5
1982-04-23,5.43,27.93,74.97
1982-04-24,0.16,28.8,67.5
1982-04-25,0.56,28.79,66.58
1982-04-26,0.75,29.26,63.82
1982-04-27,0.04,29.51,60.43
1982-04-28,0.01,28.78,64.55
1982-04-29,0.33,29.15,63.49
1982-04-30,0.28,28.92,70.91
1982-05-01,1.69,28.79,71.54
1982-05-02,2.9,28.48,71.83
1982-05-03,2.41,28.12,72.57
1982-05-04,1.65,28.27,71.43
1982-05-05,0.54,28.4,67.1
1982-05-06,0.06,29.11,64.59
1982-05-07,0.01,28.52,67.85
1982-05-08,0.09,29.04,65.1
1982-05-09,0.05,29.69,63.76
1982-05-10,0.84,28.36,72.97
1982-05-11,1.06,28.04,73.08
1982-05-12,0.11,28.55,70.0
1982-05-13,0.15,29.19,66.69
1982-05-14,0.24,29.01,67.34
1982-05-15,0.8,28.86,67.93
1982-05-16,0.92,27.87,75.33
1982-05-17,2.45,27.55,75.25
1982-05-18,2.26,26.63,78.73
1982-05-19,8.05,28.3,70.11
1982-05-20,13.18,28.11,75.94
1982-05-21,3.01,27.97,78.6
1982-05-22,1.38,28.23,79.13
1982-05-23,0.5,28.0,77.25
1982-05-24,3.79,28.63,73.83
1982-05-25,2.56,29.04,72.72
1982-05-26,13.05,27.95,79.86
1982-05-27,6.05,27.84,78.73
1982-05-28,4.57,27.01,80.78
1982-05-29,6.3,27.41,76.93
1982-05-30,47.29,27.33,81.21
1982-05-31,26.1,27.11,81.8
1982-06-01,28.91,27.01,83.69
1982-06-02,8.13,26.44,85.12
1982-06-03,10.39,27.26,78.85
1982-06-04,14.68,27.29,80.1
1982-06-05,1.81,27.57,79.66
1982-06-06,1.71,27.46,80.14
1982-06-07,0.59,27.77,79.26
1982-06-08,10.72,27.43,82.59
1982-06-09,9.2,26.77,86.87
1982-06-10,57.84,26.24,88.56
1982-06-11,52.04,25.49,87.3
1982-06-12,12.99,25.77,83.79
1982-06-13,6.81,25.62,85.34
1982-06-14,26.18,25.96,84.04
1982-06-15,44.94,25.87,86.09
1982-06-16,56.41,25.93,82.25
1982-06-17,66.2,25.53,85.28
1982-06-18,114.02,25.94,84.8
1982-06-19,78.65,25.77,87.66
1982-06-20,35.78,25.87,90.21
1982-06-21,9.89,26.17,90.32
1982-06-22,18.01,25.8,89.74
1982-06-23,54.1,25.55,83.74
1982-06-24,70.24,25.37,80.08
1982-06-25,58.87,25.45,84.09
1982-06-26,13.02,25.09,86.72
1982-06-27,12.42,24.68,86.24
1982-06-28,9.29,25.17,84.86
1982-06-29,1.3,25.34,83.87
1982-06-30,0.33,25.28,87.47
1982-07-01,0.41,25.71,84.58
1982-07-02,0.21,25.87,85.64
1982-07-03,6.61,26.37,86.75
1982-07-04,25.11,26.64,87.29
1982-07-05,29.78,26.35,89.71
1982-07-06,32.73,26.34,89.93
1982-07-07,20.97,26.05,89.8
1982-07-08,12.9,25.62,85.13
1982-07-09,65.5,24.95,86.66
1982-07-10,14.68,24.82,83.75
1982-07-11,21.36,24.64,86.3
1982-07-12,39.86,25.2,88.34
1982-07-13,79.92,25.71,91.32
1982-07-14,113.8,26.22,90.3
1982-07-15,62.5,26.04,89.35
1982-07-16,39.89,25.76,89.33
1982-07-17,38.41,25.56,89.27
1982-07-18,24.41,24.93,89.49
1982-07-19,21.51,25.17,88.6
1982-07-20,28.45,25.46,88.96
1982-07-21,50.33,25.15,88.29
1982-07-22,55.0,24.94,90.37
1982-07-23,48.32,25.02,90.26
1982-07-24,41.28,25.12,92.27
1982-07-25,51.16,25.08,90.84
1982-07-26,31.96,25.14,89.9
1982-07-27,23.9,25.55,89.61
1982-07-28,26.82,25.54,91.0
1982-07-29,59.79,25.46,88.19
1982-07-30,70.72,25.72,89.31
1982-07-31,46.88,25.82,88.76
1982-08-01,63.33,25.82,88.15
1982-08-02,87.96,25.43,88.52
1982-08-03,61.64,25.16,86.68
1982-08-04,32.63,25.15,89.72
1982-08-05,40.12,25.67,89.04
1982-08-06,15.1,25.34,91.11
1982-08-07,35.51,25.02,90.94
1982-08-08,121.21,24.9,89.85
1982-08-09,120.35,24.99,88.44
1982-08-10,70.14,25.04,89.79
1982-08-11,51.02,25.1,90.5
1982-08-12,46.74,24.69,89.62
1982-08-13,70.23,24.63,90.62
1982-08-14,22.18,24.77,89.08
1982-08-15,12.53,24.65,89.97
1982-08-16,31.59,24.63,91.45
1982-08-17,35.94,24.35,90.63
1982-08-18,42.87,24.11,90.0
1982-08-19,11.28,24.93,87.54
1982-08-20,6.78,25.02,86.81
1982-08-21,9.56,24.92,86.19
1982-08-22,10.52,25.09,88.9
1982-08-23,14.16,25.52,90.6
1982-08-24,28.06,25.43,91.2
1982-08-25,31.97,25.0,90.14
1982-08-26,29.78,25.28,88.56
1982-08-27,21.12,25.11,89.06
1982-08-28,6.09,24.88,89.42
1982-08-29,0.57,25.3,87.46
1982-08-30,0.66,25.65,85.99
1982-08-31,22.0,25.69,86.71
1982-09-01,2.99,25.82,84.66
1982-09-02,0.03,25.86,84.54
1982-09-03,0.03,25.45,84.28
1982-09-04,0.19,25.28,86.08
1982-09-05,0.19,25.23,86.18
1982-09-06,0.09,25.26,86.68
1982-09-07,3.53,25.11,85.78
1982-09-08,1.06,24.87,82.93
1982-09-09,0.06,24.91,85.3
1982-09-10,2.0,25.21,86.53
1982-09-11,3.95,25.45,85.93
1982-09-12,3.48,25.31,85.98
1982-09-13,2.72,25.35,85.91
1982-09-14,3.1,25.55,85.62
1982-09-15,17.63,25.5,84.85
1982-09-16,10.11,25.43,86.18
1982-09-17,0.95,25.52,85.52
1982-09-18,4.37,25.31,88.5
1982-09-19,5.72,24.61,88.45
1982-09-20,3.17,25.25,85.04
1982-09-21,19.41,25.23,83.46
1982-09-22,19.45,24.85,86.14
1982-09-23,16.65,24.86,88.08
1982-09-24,9.95,25.12,85.34
1982-09-25,3.36,24.77,79.4
1982-09-26,0.29,24.91,79.83
1982-09-27,1.36,24.54,82.11
1982-09-28,0.36,24.65,79.48
1982-09-29,0.17,24.45,85.13
1982-09-30,0.35,24.65,84.23
1982-10-01,0.9,25.04,83.12
1982-10-02,1.28,25.63,82.19
1982-10-03,8.02,26.32,79.15
1982-10-04,2.29,26.49,79.58
1982-10-05,0.25,26.55,76.06
1982-10-06,0.2,25.36,82.61
1982-10-07,1.35,25.49,83.52
1982-10-08,0.33,25.95,81.49
1982-10-09,0.08,25.74,85.11
1982-10-10,1.04,26.06,81.61
1982-10-11,0.67,26.23,79.41
1982-10-12,0.14,27.01,76.36
1982-10-13,0.05,26.58,76.31
1982-10-14,1.91,26.73,76.92
1982-10-15,1.54,26.28,81.7
1982-10-16,0.04,26.64,81.36
1982-10-17,0.07,26.4,83.02
1982-10-18,5.34,25.67,83.79
1982-10-19,1.14,25.4,76.85
1982-10-20,1.63,25.35,81.11
1982-10-21,4.68,25.53,83.22
1982-10-22,47.46,25.68,81.98
1982-10-23,21.71,26.05,81.33
1982-10-24,87.88,24.31,88.39
1982-10-25,18.28,24.72,86.65
1982-10-26,17.89,24.95,83.38
1982-10-27,56.76,25.4,82.62
1982-10-28,21.83,24.93,89.25
1982-10-29,4.5,26.52,78.82
1982-10-30,0.84,26.82,76.44
1982-10-31,0.02,26.59,77.05
1982-11-01,0.4,26.64,76.89
1982-11-02,0.58,26.34,80.15
1982-11-03,1.63,26.82,81.12
1982-11-04,2.4,25.57,87.78
1982-11-05,4.71,25.3,86.92
1982-11-06,17.02,25.33,87.95
1982-11-07,5.45,25.83,85.72
1982-11-08,6.42,25.86,87.21
1982-11-09,1.23,25.99,84.25
1982-11-10,0.26,25.63,86.32
1982-11-11,0.06,25.78,84.72
1982-11-12,0.06,26.13,81.48
1982-11-13,0.0,25.85,84.96
1982-11-14,0.0,26.51,83.6
1982-11-15,0.29,26.23,82.67
1982-11-16,0.37,25.91,83.01
1982-11-17,0.01,26.45,80.73
1982-11-18,0.0,25.94,74.35
1982-11-19,0.01,25.47,72.09
1982-11-20,0.31,25.65,73.77
1982-11-21,0.1,25.9,72.42
1982-11-22,0.01,26.65,72.61
1982-11-23,0.01,26.84,74.9
1982-11-24,0.01,26.13,71.55
1982-11-25,0.09,25.76,74.01
1982-11-26,0.04,25.88,74.5
1982-11-27,0.05,26.77,76.9
1982-11-28,0.1,25.77,81.63
1982-11-29,0.0,25.62,72.68
1982-11-30,0.02,25.62,72.59
1982-12-01,0.36,25.81,75.89
1982-12-02,0.18,25.88,71.84
1982-12-03,0.0,24.23,65.43
1982-12-04,0.01,25.34,72.66
1982-12-05,0.28,26.53,73.0
1982-12-06,0.13,25.98,75.73
1982-12-07,0.0,25.01,65.59
1982-12-08,0.0,25.08,68.08
1982-12-09,0.0,24.82,69.45
1982-12-10,0.0,24.49,70.97
1982-12-11,0.0,24.52,64.8
1982-12-12,0.01,25.24,64.62
1982-12-13,0.02,26.02,71.23
1982-12-14,0.35,25.32,70.45
1982-12-15,0.03,25.76,62.58
1982-12-16,0.0,25.61,66.35
1982-12-17,0.06,26.13,65.56
1982-12-18,0.11,27.05,68.28
1982-12-19,0.0,26.29,64.64
1982-12-20,0.0,25.85,60.2
1982-12-21,0.0,25.14,62.97
1982-12-22,0.0,25.59,61.53
1982-12-23,0.0,26.37,61.3
1982-12-24,0.0,25.65,62.08
1982-12-25,0.0,25.36,60.43
1982-12-26,0.0,25.22,58.58
1982-12-27,0.0,26.06,62.52
1982-12-28,0.0,25.92,68.54
1982-12-29,0.09,25.78,65.89
1982-12-30,0.0,25.42,61.65
1982-12-31,0.0,25.42,60.85
1983-01-01,0.0,25.43,61.57
1983-01-02,0.0,25.09,61.4
1983-01-03,0.0,24.84,64.72
1983-01-04,0.0,25.18,62.46
