Date,ALLSKY_SFC_SW_DWN,PS,WS2M,RH2M,T2M,PRECTOTCORR
06-04-1984,24.67,99.02,1.38,84.91,27.12,10.42
07-04-1984,24.39,98.96,1.5,83.82,27.32,2.01
08-04-1984,20.76,98.94,2.06,77.99,27.9,2.32
09-04-1984,23.75,99.03,2.49,68.71,28.71,2.33
10-04-1984,24.25,98.96,2.13,65.09,29.39,0.39
11-04-1984,22.53,99.05,1.21,68.59,29,0.81
12-04-1984,25.38,99,1.27,67.22,29.24,1.1
13-04-1984,22.39,98.98,0.91,75.53,27.98,1.69
14-04-1984,24.47,98.94,1.32,69.73,28.86,1.09
15-04-1984,23.93,98.96,1.31,76.94,27.93,0.72
16-04-1984,20.45,99.01,1.79,73.65,27.9,0.63
17-04-1984,20.74,99.04,1.86,72.14,28.27,0.34
18-04-1984,22.16,99.05,1.75,72.84,28.06,0.33
19-04-1984,24.08,99.01,1.88,74,27.68,0.53
20-04-1984,23.35,98.93,1.84,71.09,28.01,1.1
21-04-1984,24.1,98.85,2.23,71.56,29.02,1.48
22-04-1984,23.76,98.87,2.58,69.26,29.49,0.63
23-04-1984,22.23,98.79,2.23,67.92,29.26,0.16
24-04-1984,23.26,98.78,1.98,69.73,28.77,0.99
25-04-1984,24.45,98.86,1.93,68.71,28.58,2.34
26-04-1984,23.7,99.04,2.14,65.59,28.33,0.38
27-04-1984,22.18,99.13,2.68,65.6,28.42,0.12
28-04-1984,24.28,99.04,2.81,69.23,28.79,0.16
29-04-1984,24.32,98.86,3.03,68.18,29.36,0.45
30-04-1984,22.59,98.84,2.66,68.83,29.41,0.39
01-05-1984,20.86,98.91,2.74,67.11,29.54,0.07
02-05-1984,23.48,98.99,2.9,65.74,29.37,0.02
03-05-1984,23.05,98.93,2.6,66.35,29.25,0.01
04-05-1984,21.97,98.96,2.37,67.21,29.56,0.04
05-05-1984,23.6,99.03,2.17,69.67,29.24,0.08
06-05-1984,21.02,98.94,2.06,68.48,29.38,0.08
07-05-1984,24.19,98.82,2,71.11,29.12,0.14
08-05-1984,17.5,98.82,2.04,70.65,29.22,0.04
09-05-1984,21.32,98.85,1.93,71.44,28.73,0.1
10-05-1984,17.92,98.82,2.14,70.13,29.23,0.35
11-05-1984,20.62,98.85,2.04,66.95,30.04,0.29
12-05-1984,23.08,98.88,1.94,70.62,29.59,0.27
13-05-1984,19.03,98.86,2.44,68.46,29.46,0.52
14-05-1984,18.52,98.76,2.56,62.48,29.98,0.17
15-05-1984,24.16,98.72,2.85,69.18,29.52,0.68
16-05-1984,23.32,98.78,3.14,65.11,29.96,0.8
17-05-1984,22.34,98.89,2.48,68.82,29.38,0.93
18-05-1984,23.88,98.8,2.6,72.91,28.66,2.49
19-05-1984,20.74,98.82,2.36,70.25,28.59,1.16
20-05-1984,14.44,98.97,2.01,67.95,28.85,2.97
21-05-1984,22.88,99.01,2.19,72.69,28.36,2.08
22-05-1984,19.67,99,2.53,69.59,28.92,0.14
23-05-1984,24.07,98.93,3.17,76.4,28.34,0.66
24-05-1984,23.9,98.86,3.03,74.28,28.51,0.15
25-05-1984,21.62,98.85,3.37,71.67,29.19,0.08
26-05-1984,22.54,98.96,3.48,63.27,29.35,0.3
27-05-1984,20.86,98.96,2.03,67.9,27.25,0.52
28-05-1984,21.73,98.74,2.34,77.07,27.5,0.44
29-05-1984,21.09,98.72,2.85,73.38,28.58,0.38
30-05-1984,23.37,98.84,2.82,68.28,29.5,0.3
31-05-1984,21.12,98.99,2.19,75.66,27.94,0.85
01-06-1984,20.86,98.79,2.61,71.91,28.24,2.72
02-06-1984,8.47,98.6,2,79.17,27.18,8.94
03-06-1984,16.58,98.65,2.6,88.13,26.34,77.01
04-06-1984,16.26,98.88,3.32,89.11,26.5,37
05-06-1984,16.43,98.9,3.53,85.89,26.64,8.24
06-06-1984,10.55,98.76,3.51,88.69,26.59,13.38
07-06-1984,16.89,98.61,3.56,88.65,26.87,23.27
08-06-1984,8.65,98.57,4.53,90.62,25.85,32.72
09-06-1984,11.76,98.8,2.98,90.36,25.38,23.97
10-06-1984,11.5,98.98,2.75,83.59,25.97,25.98
11-06-1984,19.19,98.79,2.93,88.9,26.35,21.19
12-06-1984,15.71,98.7,3.17,89.65,26.22,12.9
13-06-1984,15.74,98.78,3.81,86.96,25.87,8.52
14-06-1984,15.17,98.81,3.34,87.36,25.86,9.71
15-06-1984,16.21,98.71,3.62,88.17,26.5,17.38
16-06-1984,10.78,98.64,3.71,88.25,26.57,27.69
17-06-1984,15.94,98.77,3.84,89.36,26.14,57.82
18-06-1984,8.86,98.95,3.32,86.47,25.55,89.26
19-06-1984,8.35,98.97,3.19,87.34,25.92,150.14
20-06-1984,20.92,98.88,3.13,89.55,25.71,64.44
21-06-1984,16.04,98.9,3.21,89.06,25.07,34.13
22-06-1984,9.6,98.97,2.97,89.2,24.86,16.35
23-06-1984,15.69,99.04,2.65,92.37,24.98,57.96
24-06-1984,15.96,99,2.52,90.37,25.56,23.75
25-06-1984,16.04,98.93,1.95,91.92,24.78,39.74
26-06-1984,15.88,99.01,3.29,88.84,24.49,8.75
27-06-1984,19.22,99.08,2.51,87.17,24.66,30.1
28-06-1984,18.59,98.99,1.96,91.2,25.02,17.61
29-06-1984,11.1,98.92,2.32,92.32,25.2,14.31
30-06-1984,11.1,98.95,2.53,91.17,24.69,49.53
01-07-1984,16.24,98.94,3.47,87.29,24.75,69.79
02-07-1984,21.65,98.85,3.95,88.39,25.07,41.74
03-07-1984,20.01,98.82,3.47,89.83,25.66,12.36
04-07-1984,21.41,98.78,3.39,90.74,25.64,10.85
05-07-1984,17.27,98.77,3.06,90.79,25.4,4.45
06-07-1984,20.91,98.75,3.08,91.06,25.35,9.86
07-07-1984,24.02,98.79,2.75,90.96,25.13,13.23
08-07-1984,20.29,98.79,2.44,90.67,25,6.31
09-07-1984,15.17,98.79,2.57,92.61,24.48,1.27
10-07-1984,18.8,98.68,2,87.65,25.24,1.9
11-07-1984,16.06,98.69,2.23,89.83,24.77,7.62
12-07-1984,14.3,98.73,3.19,90.89,24.66,9.42
13-07-1984,12.39,98.79,3.25,91.65,24.77,3.64
14-07-1984,14.34,98.88,4.23,91.32,25.08,72.95
15-07-1984,10.9,98.89,3.86,89.53,25.01,61.87
16-07-1984,15.96,98.88,3.58,88.47,25.05,45.69
17-07-1984,14.98,98.82,4.27,88.64,25.04,28.27
18-07-1984,17.05,98.79,4.12,88.98,24.91,34.93
19-07-1984,17.14,98.82,3.25,88.94,24.63,20.74
20-07-1984,18.74,98.88,2.09,90.62,24.62,11.14
21-07-1984,18.91,99.01,2.38,90.52,24.24,46.37
22-07-1984,15.36,99,1.98,91.15,24.2,15.06
23-07-1984,15.44,98.99,1.81,88.53,24.04,33.8
24-07-1984,13.53,99.04,1.84,89.62,23.76,35.32
25-07-1984,15.59,99.08,2.49,90.69,23.86,8.97
26-07-1984,20.65,99.13,3.16,88.04,24.37,13.16
27-07-1984,22.95,99.05,3.03,89.55,24.86,11.2
28-07-1984,22.63,98.99,2.73,88.6,24.95,11.66
29-07-1984,21.71,98.9,2.21,89.28,24.72,6.21
30-07-1984,14.77,98.96,2.4,91.72,24.48,5.64
31-07-1984,15.79,98.96,2.56,92.03,24.58,16.98
01-08-1984,11.9,98.83,3.2,93.1,24.83,60.03
02-08-1984,17.08,98.92,3.21,90.38,25.02,26.34
03-08-1984,16.88,99.03,2.56,90.33,24.86,16.72
04-08-1984,21.23,99.12,2.44,89.76,24.73,16.78
05-08-1984,23.71,99.07,2.46,90.8,24.45,11.8
06-08-1984,19.87,99.02,2.5,87.28,24.84,20.77
07-08-1984,16.47,99.04,3.34,86.94,24.64,21.87
08-08-1984,16.13,99.03,3.17,86.41,24.42,50.28
09-08-1984,18.29,99.02,2.95,87.53,24.6,23.81
10-08-1984,22.47,99.01,3.19,86.55,24.79,6.13
11-08-1984,19.58,99.08,2.43,86.42,25.02,5.94
12-08-1984,23.01,99.07,2.65,86.96,25.29,2.11
13-08-1984,21.54,99.01,3.06,85.96,25.26,0.87
14-08-1984,16.47,98.89,3.22,88.75,25.04,4.54
15-08-1984,16.97,98.86,3.14,88.96,24.96,13.87
16-08-1984,18.48,98.92,2.71,90.16,24.8,15.93
17-08-1984,16.42,98.97,2.42,89.79,24.64,10.33
18-08-1984,18.17,99.03,2.64,89.55,24.58,19.09
19-08-1984,20.1,99.09,2.21,88.54,24.79,4.62
20-08-1984,16.24,99.11,2.29,88.83,24.72,5.98
21-08-1984,12.6,99.13,2.45,89.49,24.76,20.86
22-08-1984,21.5,99.11,2.26,87.65,24.9,25.97
23-08-1984,16.35,99.16,2.23,87.67,24.67,16.6
24-08-1984,17.21,99.21,2.05,89.21,24.55,20.22
25-08-1984,18.63,99.1,2.29,86.87,24.91,6.65
26-08-1984,17.12,99.01,2.64,88.58,24.84,0.76
27-08-1984,17.12,99.07,2.09,89.48,24.55,1.67
28-08-1984,22.46,99.14,1.96,90.61,24.34,0.83
29-08-1984,22.71,99.16,2.3,89.99,24.52,2.01
30-08-1984,19.78,99.03,2.92,89.38,24.43,5.03
31-08-1984,21.9,98.96,3.07,88.6,24.64,5.28
01-09-1984,20.6,98.97,2.8,89.26,24.8,4.01
02-09-1984,19.06,99.02,2.82,89.85,24.85,13.76
03-09-1984,20.02,99.05,2.85,88.56,25.06,9.72
04-09-1984,17.7,99.09,2.29,89.3,24.87,10.04
05-09-1984,17.65,99.19,1.83,90.12,24.61,4.66
06-09-1984,23.1,99.27,2.16,88.46,24.77,5.02
07-09-1984,19.87,99.27,2.48,86.22,24.91,1.01
08-09-1984,20.57,99.16,2.53,86.3,24.88,0.25
09-09-1984,18.86,99.09,2.83,86.95,24.45,0.45
10-09-1984,20.13,98.97,2.49,88.87,24.02,9.21
11-09-1984,17.18,98.98,1.83,87.08,24.14,4.24
12-09-1984,17.76,99.15,2.28,88,24.28,12.76
13-09-1984,21.47,99.23,1.75,86.25,24.48,4.45
14-09-1984,23.56,99.28,1.5,84.55,24.65,0.99
15-09-1984,21.25,99.32,1.7,84.42,24.91,1.27
16-09-1984,20.49,99.33,1.77,85.73,25.27,2.28
17-09-1984,18.47,99.28,1.18,90.35,23.99,0.5
18-09-1984,17.32,99.07,1.54,88.47,24.38,0.22
19-09-1984,20.82,99.01,2.18,82.78,24.74,0.03
20-09-1984,18.79,99.05,2.17,83.18,25.42,0.59
21-09-1984,19.24,99.16,1.84,87.37,25.44,4.2
22-09-1984,23.18,99.13,2.44,89.44,25.15,4.22
23-09-1984,19.9,99,2.55,88.2,25.34,3.82
24-09-1984,20.49,98.89,2.94,84.87,25.67,5.14
25-09-1984,17.06,98.85,2.82,89.92,25.95,4.51
26-09-1984,17.68,98.93,3.3,92.1,25.36,6.42
27-09-1984,11.89,98.93,2.59,87.19,25.4,3.35
28-09-1984,17.28,98.84,3.54,92.62,25.12,9.97
29-09-1984,17.27,98.74,3.34,88.71,25.53,7.17
30-09-1984,15.97,98.7,2.04,88.63,25.24,4.63
01-10-1984,11,98.66,2.05,89.89,25.62,9.99
02-10-1984,20.08,98.63,1.25,88.64,25.95,17.94
03-10-1984,18.54,98.61,1.91,88.69,25.69,9.59
04-10-1984,17.7,98.78,3.74,87.35,25.11,5.72
05-10-1984,18.17,98.92,2.76,91.68,25.07,11.22
06-10-1984,17.99,99.04,1.94,87.44,25.02,10.35
07-10-1984,18.12,98.93,1.74,87.87,25.27,4.33
08-10-1984,12.09,98.97,1.9,89.68,24.65,12.38
09-10-1984,17.99,99.19,2.42,86.35,24.88,12.14
10-10-1984,16.8,99.38,2.31,87.54,24.28,41.73
11-10-1984,17.56,99.34,2.6,88.43,23.84,6.04
12-10-1984,17.53,99.24,2.34,91.36,24.04,5.45
13-10-1984,19.17,99.24,1.6,89.85,24.69,9.7
14-10-1984,20.94,99.28,2.01,84.91,24.84,1.86
15-10-1984,20.93,99.37,1.98,83.49,24.72,2.26
16-10-1984,21.69,99.31,1.77,81.96,24.13,0.03
17-10-1984,20.49,99.23,1.82,81.7,23.51,0.18
18-10-1984,21.9,99.23,1.28,78.8,23.93,0.02
19-10-1984,20.57,99.31,1.56,84.25,24.71,0
20-10-1984,20.61,99.37,1.74,85.59,25.23,0.18
21-10-1984,16.18,99.38,1.53,85.09,25.11,0.17
22-10-1984,19.22,99.48,1.41,79.65,25.08,0.23
23-10-1984,21.5,99.48,1.28,76.95,25.09,0.11
24-10-1984,21.59,99.4,1.85,82.25,25.33,2.85
25-10-1984,21.63,99.24,1.52,83.01,26.14,1.35
26-10-1984,20.75,99.19,1.22,82.09,25.78,7.15
27-10-1984,18.12,99.1,1.02,81.73,26.09,0.99
28-10-1984,19.96,99.09,1.31,81.5,25.87,0.38
29-10-1984,20.35,99.14,1.24,81.8,25.6,0.03
30-10-1984,20.84,99.18,0.78,78.39,25.97,0
31-10-1984,20.86,99.2,0.83,71.89,26.54,0
01-11-1984,20.75,99.22,1.25,72.05,26.28,0.2
02-11-1984,22,99.24,1.35,76.53,26,0.05
03-11-1984,20.92,99.31,1.3,80.55,26.23,0.02
04-11-1984,19.59,99.28,0.75,80.85,26.08,0.79
05-11-1984,16.36,99.31,0.7,83.14,25.61,4
06-11-1984,17.35,99.28,1.06,73.1,26.59,1.18
07-11-1984,20.52,99.22,1.04,72.8,26.68,0.53
08-11-1984,20.66,99.18,1.23,74.65,26.29,0.63
09-11-1984,20.47,99.1,0.84,75.21,26.61,0.08
10-11-1984,20.87,99.08,1.24,75.89,25.87,0
11-11-1984,17.78,99.11,1.13,72.75,25.58,0
12-11-1984,17.77,99.03,1.22,72.96,25.2,0
13-11-1984,17.46,99.06,0.73,75.87,25.98,0.02
14-11-1984,20.13,99.01,1.18,79.57,26.79,0.06
15-11-1984,20.55,99,1.37,78.68,26.45,0.03
16-11-1984,20.02,99.15,2.11,82.07,25.62,0.39
17-11-1984,17.3,99.31,1.19,79.33,25.93,0.52
18-11-1984,22.05,99.32,1.28,83.03,25.88,0.79
19-11-1984,20.99,99.34,1.23,79.41,26.2,0.53
20-11-1984,15.4,99.34,0.87,79.42,26.12,1.17
21-11-1984,17.08,99.32,1.07,82,25.62,0.81
22-11-1984,16.37,99.4,1.11,84.21,25.21,0.77
23-11-1984,18.2,99.38,1.2,79.34,25.52,0.55
24-11-1984,17.54,99.38,0.76,70.98,26.05,0.2
25-11-1984,19.79,99.38,1.52,66.95,26.08,0.08
26-11-1984,19.41,99.42,1.04,65.96,25.7,0
27-11-1984,19.9,99.27,1.45,63.47,26.09,0.02
28-11-1984,18.46,99.15,1.42,70.68,26.21,0
29-11-1984,18.78,99.13,1.35,71.27,25.84,0
30-11-1984,17.72,99.18,1.21,66.68,25.53,0
01-12-1984,18.54,98.96,1.92,73.93,25.84,0.13
02-12-1984,16.07,98.66,3,80.71,26.55,6.74
03-12-1984,18.76,99.05,1.92,80.63,26.3,0.15
04-12-1984,18.32,99.21,1.1,78.87,26.55,0.28
05-12-1984,19.73,99.22,1.58,81.26,26.59,0.42
06-12-1984,16.01,99.17,1.51,76.93,26.02,0.17
07-12-1984,16.07,99.25,1.27,71.92,26.24,0.3
08-12-1984,18.84,99.3,1.46,68.64,25.92,0.02
09-12-1984,18.85,99.28,1.18,67.8,25.88,0
10-12-1984,19.26,99.25,1.33,64.44,25.96,0
11-12-1984,18.24,99.29,1.04,63.79,26.47,0
12-12-1984,19.38,99.29,1,60.62,25.43,0.01
13-12-1984,19.52,99.19,1.28,63.85,25,0
14-12-1984,18.83,99.14,1.23,67.39,25.43,0
15-12-1984,18.79,99.3,1.18,66.13,25.69,0
16-12-1984,18.23,99.3,1.23,60.95,25.04,0
17-12-1984,18.86,99.22,1.33,59.34,24.86,0
18-12-1984,18.93,99.21,1.53,59.23,24.75,0
19-12-1984,19.29,99.16,1.18,58.72,25.53,0
20-12-1984,18.73,99.13,1.31,60.23,25.43,0.02
21-12-1984,19.21,99.04,1.26,55.55,25.17,0.01
22-12-1984,20.95,99.04,1.66,64.63,24.76,0
23-12-1984,15.3,99.08,1.3,64.21,25.27,0
24-12-1984,17.97,99.1,1.1,57.66,25.11,0
25-12-1984,19.09,99.05,1.15,51.2,24.96,0
26-12-1984,18.61,99.09,1.64,56.45,24.66,0
27-12-1984,18.82,99.11,1.55,63.46,26.37,0
28-12-1984,19.47,99.13,1.37,64.74,27.21,0
29-12-1984,18.53,99.19,1.49,64.8,27.5,0
30-12-1984,19.62,99.14,1.63,63.31,28.03,0
31-12-1984,18.54,99.16,1.34,67.8,27.27,0.14
01-01-1985,17,99.1,1.79,72.48,27.11,2.18
02-01-1985,18.45,99.19,2.28,69.71,26.91,2.1
03-01-1985,18.62,99.32,1.69,73.09,26.68,0.97
04-01-1985,18.49,99.43,1.42,78.68,25.57,2.12
05-01-1985,19.32,99.37,1.35,75.73,26.43,1.76
06-01-1985,19.34,99.28,0.99,77.34,26.36,0.31
07-01-1985,16.11,99.33,1.38,70.49,26.99,0.4
08-01-1985,17.13,99.37,1.48,66.07,27.08,0.3
09-01-1985,15.21,99.42,1.38,69.54,26.48,0.1
10-01-1985,16.7,99.42,1.18,76.7,25.49,4.51
11-01-1985,18.55,99.3,1.43,74.13,25.8,2.89
12-01-1985,18.85,99.32,1.43,72.36,26.06,3.84
13-01-1985,20.31,99.38,1.53,69.32,26.09,0.64
14-01-1985,18,99.34,1.35,61.34,25.9,0
15-01-1985,19.52,99.27,1.53,58.98,25.91,0
16-01-1985,18.18,99.25,1.67,57.27,26.88,0
17-01-1985,18.63,99.34,1.51,56.99,27.18,0
18-01-1985,18.35,99.42,1.24,61.89,27.02,0.01
19-01-1985,18.85,99.31,1.56,67.37,26.66,0.15
20-01-1985,19.51,99.22,2.01,65.43,26.61,1.3
21-01-1985,19.78,99.15,1.76,64.62,26.39,0.02
22-01-1985,21.93,99.2,1.69,63.62,26.9,0.02
23-01-1985,20.26,99.37,1.49,62.51,27.1,0.01
24-01-1985,18.72,99.3,1.75,57.51,27.11,0
25-01-1985,19.33,99.18,1.59,53.77,26.88,0
26-01-1985,18.93,99.08,1.66,58.23,26.77,0
27-01-1985,19.64,99.13,1.53,60.27,26.81,0
28-01-1985,19.63,99.16,1.65,63.72,26.98,0.01
29-01-1985,20.93,99.16,1.51,65.03,27.05,0
30-01-1985,20.49,99.11,1.5,61.04,26.75,0.01
31-01-1985,20.72,99.05,1.59,61.44,27.4,0.03
01-02-1985,20.06,99.04,2.06,60.42,27.64,0
02-02-1985,20.23,99.03,2.07,56.31,28.24,0
03-02-1985,20.44,99.03,1.82,55.53,28.5,0
04-02-1985,20.79,98.94,1.71,62.23,28.33,0
05-02-1985,18.91,98.8,1.9,57.57,28.08,0
06-02-1985,14.5,98.81,2.17,58.03,26.96,0
07-02-1985,15.73,98.85,2.41,63.88,25.76,0
08-02-1985,20.65,98.78,2.38,61.56,26.22,0
09-02-1985,20.98,98.82,2.04,66.88,26.03,0
10-02-1985,21,98.92,2.48,67.71,26.29,0
11-02-1985,21.08,98.93,2.2,66.04,26.43,0
12-02-1985,21.72,98.95,1.86,62.29,26.56,0.02
13-02-1985,21.83,98.93,1.94,64.2,26.98,0
14-02-1985,21.93,98.94,2.03,67.99,26.75,0.01
15-02-1985,22.12,98.79,2.49,64.62,27.28,0
16-02-1985,21.59,98.76,2.56,56.93,28.01,0
17-02-1985,20.79,98.86,2.22,60.14,27.96,0
18-02-1985,20.9,98.92,1.95,66.09,27.87,0
19-02-1985,22.17,98.92,2.71,61.55,28.43,0.02
20-02-1985,22.22,98.96,2.46,59.42,28.69,0
21-02-1985,22.25,99.02,2.27,62.25,28.16,0
22-02-1985,22.2,99,1.91,61.88,28.44,0
23-02-1985,21.3,98.99,2.06,60.85,28.31,0
24-02-1985,22.36,99,1.84,59.1,28.04,0
25-02-1985,22.63,99.01,1.79,60.11,28.16,0
26-02-1985,20.67,99,1.78,56.65,27.91,0
27-02-1985,21.12,99.17,1.82,65.41,27.83,0
28-02-1985,22.19,99.21,2.35,62.32,28.45,0.01
01-03-1985,22.64,99.2,1.81,59.3,28.46,0.03
02-03-1985,22.9,99.17,2.14,64.19,28.43,0.01
03-03-1985,21.76,99.05,2.17,65.7,28.18,0
04-03-1985,21.01,99.17,1.89,65.83,28.37,0
05-03-1985,20.95,99.27,1.64,68.15,28.02,0
06-03-1985,23.22,99.28,1.99,70.22,28,0.01
07-03-1985,22.25,99.14,2.06,67.98,28.43,0.02
08-03-1985,21.59,99.18,2.11,64.59,28.79,0.04
09-03-1985,20.92,99.21,1.84,53.51,29.46,0.02
10-03-1985,23.05,99.08,1.82,50.19,29.86,0
11-03-1985,22.32,99.1,1.81,52.86,30.2,0
12-03-1985,23.35,99.18,1.81,56.06,29.73,0
13-03-1985,22.37,99.31,1.64,70.04,27.99,0.01
14-03-1985,22.57,99.16,2.14,68.31,28.51,0.07
15-03-1985,23.63,99.2,1.85,65.39,29.03,0.01
16-03-1985,23.29,99.25,1.89,66.93,28.78,0
17-03-1985,23.32,99.24,1.98,69.95,28.06,0.01
18-03-1985,21.94,99.09,1.96,64.41,28.62,0
19-03-1985,22.28,99.08,2.15,59.01,29.18,0
20-03-1985,23.19,99.13,2.34,63.08,29.34,0
21-03-1985,24.12,99.12,2,62.34,29.15,0.14
22-03-1985,22.94,99.13,1.47,61.63,29.32,0.55
23-03-1985,22.71,99.07,1.59,67.56,28.21,1.59
24-03-1985,22.79,99.04,1.55,66.47,28.28,0.74
25-03-1985,23.75,99.09,2.12,64.79,29.29,0.6
26-03-1985,23.28,99.1,2.48,62.98,29.61,0.8
27-03-1985,22.74,99.04,2.21,66.11,29.15,1.31
28-03-1985,22.34,99.02,2.04,68.29,28.58,0.07
29-03-1985,22.94,98.97,2.1,66.99,29.11,0.05
30-03-1985,21.97,99,1.78,69.24,28.4,0.07
31-03-1985,22.89,98.97,1.63,67.07,29.16,0.86
01-04-1985,24.53,99.17,1.36,68.87,28.95,1.07
